Customer_ID,Last_Transaction_Date,Churned (Yes/No),Days_Since_Last_Purchase
C1153,2025-01-14,No,162
C1154,2024-08-14,Yes,315
C1155,2024-08-03,Yes,326
C1156,2025-04-28,No,58
C1157,2024-11-29,Yes,208
C1158,2024-10-08,Yes,260
C1159,2024-11-12,Yes,225
C1160,2024-07-01,Yes,359
C1161,2024-06-26,Yes,364
C1162,2024-12-26,Yes,181
C1163,2024-10-19,Yes,249
C1164,2025-05-08,No,48
C1165,2024-12-10,Yes,197
C1166,2025-04-19,No,67
C1167,2024-07-31,Yes,329
C1168,2024-09-16,Yes,282
C1169,2024-09-23,Yes,275
C1170,2024-09-16,Yes,282
C1171,2024-08-18,Yes,311
C1172,2025-01-06,No,170
C1173,2024-07-27,Yes,333
C1174,2024-08-25,Yes,304
C1175,2025-03-18,No,99
C1176,2025-04-15,No,71
C1177,2025-01-08,No,168
C1178,2024-07-03,Yes,357
C1179,2025-02-16,No,129
C1180,2024-08-16,Yes,313
C1181,2024-09-18,Yes,280
C1182,2024-08-20,Yes,309
C1183,2024-09-27,Yes,271
C1184,2025-05-10,No,46
C1185,2024-10-08,Yes,260
C1186,2025-05-29,No,27
C1187,2024-10-11,Yes,257
C1188,2024-10-13,Yes,255
C1189,2024-12-05,Yes,202
C1190,2025-03-09,No,108
C1191,2024-11-22,Yes,215
C1192,2024-09-19,Yes,279
C1193,2024-12-14,Yes,193
C1194,2025-02-26,No,119
C1195,2024-09-29,Yes,269
C1196,2025-02-03,No,142
C1197,2024-09-29,Yes,269
C1198,2025-04-23,No,63
C1199,2024-11-01,Yes,236
C1200,2024-09-16,Yes,282
C1201,2025-02-18,No,127
C1202,2024-09-13,Yes,285
C1203,2025-02-07,No,138
C1204,2024-11-24,Yes,213
C1205,2024-11-23,Yes,214
C1206,2024-11-07,Yes,230
C1207,2025-01-21,No,155
C1208,2024-12-13,Yes,194
C1209,2025-02-04,No,141
C1210,2024-07-28,Yes,332
C1211,2025-05-15,No,41
C1212,2024-10-08,Yes,260
C1213,2024-12-01,Yes,206
C1214,2024-10-01,Yes,267
C1215,2024-10-23,Yes,245
C1216,2025-01-22,No,154
C1217,2025-03-28,No,89
C1218,2024-12-07,Yes,200
C1219,2024-07-14,Yes,346
C1220,2024-07-10,Yes,350
C1221,2025-04-13,No,73
C1222,2025-05-16,No,40
C1223,2024-12-29,No,178
C1224,2025-04-06,No,80
C1225,2025-04-08,No,78
C1226,2025-03-15,No,102
C1227,2025-02-04,No,141
C1228,2025-02-23,No,122
C1229,2024-09-27,Yes,271
C1230,2024-12-16,Yes,191
C1231,2024-11-07,Yes,230
C1232,2025-01-13,No,163
C1233,2024-08-22,Yes,307
C1234,2024-06-25,Yes,365
C1235,2025-04-21,No,65
C1236,2024-10-16,Yes,252
C1237,2024-08-20,Yes,309
C1238,2024-12-02,Yes,205
C1239,2025-01-23,No,153
C1240,2024-11-19,Yes,218
C1241,2025-01-24,No,152
C1242,2024-07-24,Yes,336
C1243,2024-07-27,Yes,333
C1244,2025-06-19,No,6
C1245,2024-07-08,Yes,352
C1246,2025-04-04,No,82
C1247,2025-05-09,No,47
C1248,2025-01-16,No,160
C1249,2024-12-14,Yes,193
C1250,2024-10-13,Yes,255
C1251,2024-12-07,Yes,200
C1252,2025-02-27,No,118
C1253,2024-11-18,Yes,219
C1254,2024-11-21,Yes,216
C1255,2024-06-30,Yes,360
C1256,2024-09-12,Yes,286
C1257,2025-03-06,No,111
C1258,2025-05-25,No,31
C1259,2025-01-11,No,165
C1260,2024-06-29,Yes,361
C1261,2025-04-18,No,68
C1262,2025-05-24,No,32
C1263,2024-07-18,Yes,342
C1264,2024-09-05,Yes,293
C1265,2025-03-21,No,96
C1266,2024-12-31,No,176
C1267,2025-03-23,No,94
C1268,2024-09-18,Yes,280
C1269,2024-09-25,Yes,273
C1270,2024-08-16,Yes,313
C1271,2024-12-10,Yes,197
C1272,2024-07-24,Yes,336
C1273,2025-03-24,No,93
C1274,2025-04-10,No,76
C1275,2025-01-20,No,156
C1276,2024-09-30,Yes,268
C1277,2025-06-15,No,10
C1278,2025-05-15,No,41
C1279,2024-12-01,Yes,206
C1280,2025-01-07,No,169
C1281,2024-12-07,Yes,200
C1282,2025-01-29,No,147
C1283,2024-12-05,Yes,202
C1284,2025-05-01,No,55
C1285,2025-01-18,No,158
C1286,2025-04-27,No,59
C1287,2025-01-16,No,160
C1288,2025-01-07,No,169
C1289,2024-08-06,Yes,323
C1290,2025-03-29,No,88
C1291,2025-06-21,No,4
C1292,2025-03-20,No,97
C1293,2024-07-20,Yes,340
C1294,2024-11-22,Yes,215
C1295,2024-09-03,Yes,295
C1296,2025-05-25,No,31
C1297,2025-01-13,No,163
C1298,2024-10-03,Yes,265
C1299,2025-01-31,No,145
