Transaction_ID,Customer_ID,Transaction_Date,Store_ID,Product_Category,Amount,Quantity,Promotion_Applied
T20154,C1039,2024-12-19,S106,Clothing,372.09,5,Yes
T20155,C1039,2024-10-11,S109,Beverages,143.31,3,Yes
T20156,C1236,2025-05-20,S104,Electronics,70.17,5,Yes
T20157,C1288,2024-06-25,S108,Clothing,428.08,10,No
T20158,C1261,2025-03-17,S109,Bakery,86.82,4,No
T20159,C1215,2024-09-15,S104,Bakery,427.86,8,Yes
T20160,C1146,2025-03-13,S105,Grocery,247.93,5,Yes
T20161,C1167,2024-09-13,S108,Bakery,206.25,10,No
T20162,C1091,2024-07-02,S110,Clothing,452.08,8,No
T20163,C1058,2024-10-22,S106,Bakery,303.91,9,Yes
T20164,C1058,2024-11-11,S107,Clothing,290.42,4,No
T20165,C1168,2025-05-16,S103,Electronics,281.59,7,Yes
T20166,C1268,2024-11-26,S107,Grocery,188.73,2,Yes
T20167,C1044,2024-10-22,S108,Bakery,393.89,6,Yes
T20168,C1180,2024-12-25,S110,Clothing,130.14,8,No
T20169,C1169,2024-07-06,S106,Beverages,469.75,7,No
T20170,C1190,2025-05-08,S110,Grocery,447.52,7,No
T20171,C1154,2025-03-02,S109,Electronics,172.05,8,No
T20172,C1187,2024-11-18,S106,Clothing,366.08,7,Yes
T20173,C1006,2024-09-24,S109,Electronics,288.75,5,No
T20174,C1132,2025-02-11,S104,Electronics,172.14,7,Yes
T20175,C1234,2024-09-05,S108,Bakery,494.32,10,Yes
T20176,C1044,2024-11-12,S104,Bakery,17.49,3,Yes
T20177,C1248,2024-10-09,S102,Clothing,130.06,5,No
T20178,C1030,2025-01-10,S110,Beverages,262.44,7,Yes
T20179,C1022,2025-03-10,S109,Clothing,263.37,9,Yes
T20180,C1159,2024-12-27,S105,Beverages,296.52,2,No
T20181,C1157,2024-12-25,S104,Electronics,377.08,4,Yes
T20182,C1038,2025-05-28,S102,Grocery,313.62,7,No
T20183,C1081,2025-02-17,S101,Clothing,302.14,1,No
T20184,C1257,2025-01-31,S107,Clothing,31.49,2,No
T20185,C1205,2025-05-31,S106,Beverages,191.38,9,Yes
T20186,C1076,2025-04-20,S102,Electronics,119.87,10,No
T20187,C1011,2025-02-22,S108,Electronics,136.36,7,No
T20188,C1294,2025-06-08,S104,Beverages,279.4,10,No
T20189,C1223,2024-08-29,S108,Electronics,103.76,7,No
T20190,C1012,2025-03-06,S107,Bakery,150.5,6,Yes
T20191,C1045,2024-10-04,S105,Grocery,122.36,3,No
T20192,C1154,2024-11-23,S110,Clothing,474.51,10,Yes
T20193,C1112,2024-08-11,S110,Grocery,472.61,3,No
T20194,C1232,2025-03-16,S108,Clothing,306.92,2,Yes
T20195,C1016,2024-10-29,S109,Bakery,462.64,6,No
T20196,C1222,2025-06-22,S105,Electronics,393.98,4,Yes
T20197,C1187,2025-03-30,S110,Beverages,297.02,5,No
T20198,C1162,2024-12-25,S105,Bakery,8.19,3,Yes
T20199,C1073,2024-12-11,S102,Grocery,387.4,6,Yes
T20200,C1232,2025-05-13,S105,Beverages,352.73,3,Yes
T20201,C1223,2024-09-09,S103,Electronics,309.55,8,No
T20202,C1059,2025-05-16,S107,Bakery,381.41,9,Yes
T20203,C1221,2024-08-31,S110,Beverages,258.9,4,Yes
T20204,C1036,2025-03-07,S105,Bakery,353.52,9,Yes
T20205,C1277,2024-08-15,S108,Bakery,467.91,7,Yes
T20206,C1195,2025-03-22,S101,Electronics,191.02,3,No
T20207,C1241,2024-11-17,S103,Clothing,355.52,7,Yes
T20208,C1218,2025-02-24,S103,Beverages,240.47,1,Yes
T20209,C1191,2024-07-02,S109,Electronics,338.83,3,Yes
T20210,C1016,2025-04-27,S105,Bakery,382.63,6,No
T20211,C1011,2025-03-24,S109,Electronics,27.5,4,Yes
T20212,C1192,2025-01-16,S109,Clothing,325.07,7,Yes
T20213,C1021,2025-03-28,S101,Beverages,117.24,3,Yes
T20214,C1119,2024-12-12,S102,Clothing,336.67,1,Yes
T20215,C1209,2024-09-12,S105,Grocery,236.82,9,No
T20216,C1269,2024-07-17,S104,Beverages,387.91,6,Yes
T20217,C1191,2024-09-21,S110,Clothing,66.08,8,Yes
T20218,C1174,2024-08-09,S109,Bakery,315.03,3,No
T20219,C1284,2025-02-21,S107,Beverages,142.84,8,No
T20220,C1203,2024-11-24,S106,Beverages,427.23,2,No
T20221,C1163,2024-12-15,S107,Electronics,464.55,4,Yes
T20222,C1250,2025-01-07,S101,Bakery,498.22,3,No
T20223,C1226,2024-07-12,S101,Grocery,399.02,10,Yes
T20224,C1006,2024-07-16,S108,Clothing,378.1,1,No
T20225,C1028,2025-06-05,S102,Electronics,111.67,7,Yes
T20226,C1032,2024-12-27,S110,Clothing,171.32,10,No
T20227,C1133,2025-03-03,S109,Grocery,235.51,2,Yes
T20228,C1078,2025-02-28,S107,Grocery,387.82,4,No
T20229,C1057,2024-10-21,S106,Beverages,457.91,9,Yes
T20230,C1025,2025-02-28,S101,Grocery,98.62,6,Yes
T20231,C1225,2025-04-19,S101,Clothing,461.57,8,Yes
T20232,C1284,2025-05-13,S102,Bakery,349.33,2,Yes
T20233,C1003,2024-11-14,S106,Bakery,307.33,7,Yes
T20234,C1098,2025-01-04,S106,Beverages,103.92,6,Yes
T20235,C1038,2024-07-25,S102,Clothing,32.48,9,Yes
T20236,C1270,2024-11-06,S101,Clothing,286.39,7,Yes
T20237,C1284,2025-06-06,S110,Grocery,327.5,1,No
T20238,C1156,2024-08-19,S105,Clothing,109.34,8,Yes
T20239,C1074,2024-07-21,S105,Electronics,280.45,10,Yes
T20240,C1287,2024-11-29,S102,Grocery,428.96,3,No
T20241,C1129,2025-01-25,S106,Electronics,418.36,2,Yes
T20242,C1174,2025-06-22,S109,Beverages,464.04,3,No
T20243,C1083,2025-03-29,S102,Bakery,186.11,6,Yes
T20244,C1021,2025-06-10,S110,Beverages,162.43,3,No
T20245,C1026,2024-10-27,S102,Bakery,375.97,10,No
T20246,C1194,2024-08-07,S103,Beverages,218.4,5,Yes
T20247,C1235,2024-06-25,S107,Clothing,48.34,6,No
T20248,C1091,2024-12-21,S106,Electronics,144.99,8,Yes
T20249,C1020,2025-02-19,S108,Bakery,212.2,7,Yes
T20250,C1083,2025-01-01,S108,Grocery,149.8,8,Yes
T20251,C1261,2025-04-08,S106,Electronics,169.44,3,Yes
T20252,C1146,2024-11-02,S110,Grocery,150.42,4,No
T20253,C1256,2024-09-19,S103,Electronics,25.54,6,Yes
T20254,C1057,2024-07-10,S103,Electronics,320.36,7,No
T20255,C1014,2024-12-12,S101,Beverages,300.66,9,No
T20256,C1161,2024-09-21,S107,Bakery,328.42,1,Yes
T20257,C1162,2025-01-12,S105,Bakery,100.19,8,Yes
T20258,C1280,2025-04-22,S104,Electronics,151.35,8,Yes
T20259,C1279,2024-11-12,S110,Clothing,311.71,6,Yes
T20260,C1011,2025-01-15,S104,Clothing,301.82,4,No
T20261,C1273,2024-11-05,S104,Grocery,255.63,3,Yes
T20262,C1270,2025-05-28,S106,Grocery,178.45,3,No
T20263,C1207,2024-09-12,S108,Beverages,456.9,6,Yes
T20264,C1026,2024-07-25,S108,Electronics,173.19,8,Yes
T20265,C1071,2025-06-12,S105,Grocery,230.53,7,Yes
T20266,C1059,2025-05-28,S106,Grocery,340.67,1,Yes
T20267,C1144,2024-10-25,S104,Electronics,273.8,6,No
T20268,C1092,2025-01-30,S109,Beverages,176.71,7,No
T20269,C1007,2024-06-27,S108,Grocery,220.64,7,Yes
T20270,C1078,2025-04-12,S110,Beverages,398.27,9,No
T20271,C1026,2024-09-27,S110,Bakery,142.67,10,No
T20272,C1173,2025-05-20,S101,Beverages,75.42,5,Yes
T20273,C1049,2025-02-24,S102,Clothing,160.02,1,Yes
T20274,C1198,2025-04-28,S109,Clothing,425.52,2,No
T20275,C1180,2025-04-15,S108,Beverages,49.05,4,No
T20276,C1023,2025-06-17,S103,Clothing,495.89,5,No
T20277,C1045,2024-07-07,S108,Bakery,272.8,9,No
T20278,C1014,2025-06-07,S101,Electronics,492.5,1,Yes
T20279,C1152,2024-10-09,S110,Clothing,469.8,3,Yes
T20280,C1221,2025-06-19,S104,Clothing,229.14,5,No
T20281,C1205,2024-07-09,S103,Beverages,103.25,3,Yes
T20282,C1272,2024-10-04,S106,Bakery,86.62,4,No
T20283,C1235,2025-06-21,S107,Electronics,123.79,3,No
T20284,C1227,2024-08-30,S104,Beverages,356.52,4,Yes
T20285,C1008,2024-10-05,S107,Beverages,140.11,1,No
T20286,C1165,2024-11-01,S109,Bakery,174.01,8,No
T20287,C1213,2025-05-26,S102,Electronics,227.15,4,Yes
T20288,C1116,2025-01-25,S103,Bakery,457.05,7,Yes
T20289,C1071,2024-07-30,S105,Electronics,98.75,2,No
T20290,C1063,2024-10-12,S103,Bakery,7.49,2,No
T20291,C1204,2024-11-13,S108,Beverages,34.75,6,Yes
T20292,C1208,2025-06-04,S110,Beverages,452.86,2,No
T20293,C1071,2025-04-22,S108,Grocery,325.52,6,No
T20294,C1276,2025-04-22,S108,Clothing,140.16,2,Yes
T20295,C1273,2025-04-12,S109,Bakery,92.71,4,Yes
T20296,C1094,2024-09-23,S104,Grocery,150.66,7,Yes
T20297,C1165,2025-04-01,S105,Clothing,61.82,8,Yes
T20298,C1031,2024-11-24,S105,Bakery,471.06,3,Yes
T20299,C1010,2024-10-07,S108,Electronics,393.18,9,Yes
T20300,C1216,2024-07-17,S107,Clothing,233.88,2,No
T20301,C1288,2025-01-10,S109,Beverages,433.16,8,No
T20302,C1101,2024-07-19,S108,Grocery,128.48,8,Yes
T20303,C1266,2025-05-16,S102,Clothing,359.97,4,Yes
T20304,C1213,2025-02-28,S110,Clothing,428.79,1,No
T20305,C1178,2024-07-09,S104,Beverages,181.6,1,No
T20306,C1087,2024-10-11,S106,Bakery,379.94,2,No
T20307,C1040,2025-03-16,S102,Electronics,151.06,9,Yes
T20308,C1075,2025-02-17,S107,Beverages,152.93,2,Yes
T20309,C1045,2025-01-30,S103,Electronics,57.99,2,No
T20310,C1159,2024-07-01,S103,Bakery,222.83,6,Yes
T20311,C1079,2025-05-26,S102,Clothing,366.21,7,Yes
T20312,C1085,2025-05-04,S108,Electronics,470.41,7,Yes
T20313,C1091,2024-08-02,S106,Grocery,303.88,9,No
T20314,C1147,2025-06-15,S101,Grocery,432.25,6,No
T20315,C1160,2025-03-04,S101,Beverages,412.13,8,Yes
T20316,C1201,2025-03-30,S107,Bakery,90.8,6,Yes
T20317,C1241,2025-02-18,S108,Beverages,245.48,2,Yes
T20318,C1001,2024-07-02,S105,Beverages,62.88,1,Yes
T20319,C1224,2024-10-12,S105,Beverages,342.67,5,Yes
T20320,C1288,2025-02-03,S104,Grocery,475.2,9,No
T20321,C1232,2024-11-25,S106,Grocery,72.86,8,Yes
T20322,C1076,2025-05-08,S106,Beverages,368.27,4,Yes
T20323,C1115,2024-12-23,S103,Grocery,317.96,5,Yes
T20324,C1153,2025-05-27,S109,Bakery,293.88,5,No
T20325,C1102,2024-06-25,S107,Beverages,198.11,6,No
T20326,C1193,2024-07-27,S101,Grocery,180.79,3,Yes
T20327,C1165,2024-12-17,S107,Electronics,27.4,5,No
T20328,C1089,2024-06-27,S105,Beverages,112.86,2,No
T20329,C1173,2024-10-02,S105,Beverages,12.51,10,No
T20330,C1121,2024-08-29,S102,Bakery,292.8,1,No
T20331,C1142,2025-04-03,S104,Clothing,57.4,1,No
T20332,C1105,2024-10-07,S106,Clothing,437.14,10,No
T20333,C1122,2024-07-28,S110,Bakery,263.96,7,Yes
T20334,C1008,2024-11-12,S107,Bakery,351.35,2,No
T20335,C1261,2024-07-03,S105,Bakery,208.37,4,No
T20336,C1072,2024-07-01,S109,Clothing,282.49,5,Yes
T20337,C1222,2025-01-20,S103,Bakery,471.62,7,Yes
T20338,C1040,2024-07-30,S101,Grocery,45.95,2,Yes
T20339,C1203,2024-10-13,S104,Beverages,130.7,6,Yes
T20340,C1263,2025-01-14,S109,Beverages,391.09,1,No
T20341,C1177,2024-09-04,S104,Electronics,53.87,7,No
T20342,C1083,2024-10-29,S102,Electronics,42.45,9,No
T20343,C1110,2024-12-07,S110,Beverages,183.96,5,No
T20344,C1250,2025-06-20,S105,Grocery,50.62,5,Yes
T20345,C1006,2024-10-30,S103,Clothing,294.61,4,No
T20346,C1083,2025-06-23,S109,Clothing,117.01,3,No
T20347,C1207,2025-04-18,S104,Grocery,448.37,9,Yes
T20348,C1021,2025-06-19,S106,Clothing,392.83,5,No
T20349,C1002,2025-03-21,S102,Bakery,351.35,8,No
T20350,C1126,2025-02-16,S106,Beverages,310.39,9,No
T20351,C1296,2024-12-26,S103,Beverages,432.42,5,No
T20352,C1187,2025-03-23,S109,Grocery,115.42,10,Yes
T20353,C1013,2024-09-06,S102,Clothing,437.19,9,Yes
T20354,C1011,2024-08-02,S109,Electronics,395.8,2,Yes
T20355,C1086,2024-12-12,S105,Electronics,375.34,9,Yes
T20356,C1011,2025-03-19,S108,Clothing,282.82,4,Yes
T20357,C1024,2025-04-25,S102,Electronics,126.89,6,No
T20358,C1242,2024-08-14,S106,Grocery,214.66,6,No
T20359,C1121,2024-12-01,S103,Grocery,397.82,6,Yes
T20360,C1146,2025-05-30,S110,Clothing,20.73,2,Yes
T20361,C1054,2025-06-16,S105,Electronics,392.12,7,Yes
T20362,C1237,2025-06-01,S108,Grocery,123.84,6,No
T20363,C1172,2025-03-30,S110,Grocery,76.43,1,Yes
T20364,C1220,2024-12-19,S101,Bakery,62.27,2,No
T20365,C1118,2024-11-03,S105,Bakery,18.49,7,No
T20366,C1182,2024-11-08,S103,Grocery,264.18,1,No
T20367,C1287,2025-04-22,S104,Clothing,113.04,1,No
T20368,C1299,2025-03-30,S102,Beverages,494.77,1,Yes
T20369,C1081,2025-01-25,S109,Beverages,289.35,8,No
T20370,C1210,2024-11-11,S103,Grocery,73.25,4,No
T20371,C1149,2024-08-10,S102,Grocery,345.94,4,Yes
T20372,C1036,2024-09-26,S110,Grocery,449.38,2,No
T20373,C1058,2024-11-06,S109,Clothing,373.86,1,No
T20374,C1130,2024-08-26,S107,Bakery,42.84,10,No
T20375,C1201,2025-06-20,S106,Grocery,448.46,9,Yes
T20376,C1242,2024-12-18,S101,Grocery,398.0,7,No
T20377,C1034,2024-11-15,S105,Electronics,83.36,4,No
T20378,C1092,2024-12-23,S103,Clothing,30.63,6,Yes
T20379,C1206,2024-10-11,S101,Grocery,280.87,2,Yes
T20380,C1212,2024-08-01,S104,Electronics,82.24,7,No
T20381,C1158,2025-02-20,S102,Beverages,418.12,2,No
T20382,C1023,2024-12-21,S102,Grocery,182.38,10,Yes
T20383,C1292,2025-04-25,S103,Grocery,456.88,8,No
T20384,C1003,2024-08-05,S108,Electronics,285.02,8,Yes
T20385,C1219,2025-03-16,S108,Clothing,95.42,1,No
T20386,C1019,2025-06-19,S107,Grocery,74.1,8,Yes
T20387,C1151,2025-04-09,S106,Beverages,290.35,2,No
T20388,C1049,2025-03-13,S109,Grocery,382.13,6,Yes
T20389,C1176,2024-07-21,S104,Beverages,391.85,1,Yes
T20390,C1095,2025-03-07,S101,Bakery,141.5,5,Yes
T20391,C1104,2025-06-23,S108,Bakery,106.1,7,Yes
T20392,C1249,2024-12-22,S107,Beverages,13.29,10,Yes
T20393,C1116,2025-01-23,S107,Clothing,341.2,1,No
T20394,C1227,2025-02-20,S103,Grocery,42.9,2,No
T20395,C1065,2024-10-15,S104,Grocery,213.28,7,Yes
T20396,C1261,2024-07-22,S110,Bakery,302.83,6,No
T20397,C1294,2025-01-27,S109,Beverages,468.87,3,No
T20398,C1242,2024-10-07,S106,Grocery,159.34,10,No
T20399,C1185,2025-01-06,S105,Grocery,128.64,2,No
T20400,C1245,2025-02-03,S103,Clothing,328.81,10,No
T20401,C1124,2024-09-21,S109,Electronics,311.52,4,No
T20402,C1267,2025-03-17,S105,Bakery,169.39,3,Yes
T20403,C1130,2025-04-22,S105,Bakery,464.41,7,No
T20404,C1236,2024-11-12,S104,Electronics,423.21,8,No
T20405,C1017,2024-06-29,S104,Grocery,115.87,2,No
T20406,C1039,2024-08-05,S101,Clothing,123.38,10,Yes
T20407,C1020,2024-08-25,S107,Clothing,258.59,7,No
T20408,C1224,2024-10-20,S109,Bakery,387.92,8,No
T20409,C1281,2025-04-21,S103,Clothing,26.8,6,No
T20410,C1007,2025-04-23,S102,Electronics,348.2,6,Yes
T20411,C1099,2025-06-06,S103,Grocery,325.88,10,No
T20412,C1239,2024-10-17,S101,Electronics,119.58,1,Yes
T20413,C1086,2025-03-10,S106,Beverages,342.27,4,No
T20414,C1297,2025-04-05,S107,Bakery,470.39,1,Yes
T20415,C1013,2025-04-21,S102,Clothing,28.16,4,Yes
T20416,C1001,2025-06-04,S108,Beverages,163.23,2,Yes
T20417,C1292,2025-01-17,S106,Clothing,221.9,5,No
T20418,C1040,2025-04-06,S104,Grocery,450.13,10,Yes
T20419,C1110,2025-01-27,S105,Grocery,481.32,9,Yes
T20420,C1013,2024-10-30,S108,Grocery,224.84,10,Yes
T20421,C1230,2025-03-08,S103,Clothing,376.26,3,Yes
T20422,C1083,2025-05-15,S103,Beverages,268.17,8,No
T20423,C1129,2025-06-12,S104,Grocery,271.2,3,No
T20424,C1230,2025-04-17,S101,Beverages,142.66,6,No
T20425,C1144,2025-01-07,S109,Clothing,112.39,4,No
T20426,C1027,2025-05-26,S108,Beverages,147.56,8,Yes
T20427,C1065,2024-09-07,S108,Clothing,280.38,6,No
T20428,C1162,2024-11-11,S110,Clothing,19.43,8,Yes
T20429,C1228,2024-12-24,S106,Bakery,454.09,1,No
T20430,C1260,2025-06-16,S107,Clothing,82.36,6,No
T20431,C1163,2025-05-07,S106,Clothing,113.94,1,No
T20432,C1286,2024-09-10,S109,Electronics,261.55,1,Yes
